key_id,tournament_name,award_id,player_id,team_id,team_name,nome_time,team_code,year,player_name,player_wikipedia_link,posição,premio,wikipedia_profile_link,n_gols,age,n_matches
147,2010 FIFA Men's World Cup,A-3,P-49097,T-73,Spain,Espanha,ESP,2010,David Villa,https://en.wikipedia.org/wiki/David_Villa,Atacante,Bola de Bronze,https://upload.wikimedia.org/wikipedia/commons/a/a4/Spain-Tahiti%2C_Confederations_Cup_2013_%2802%29_%28Villa_crop%29.jpg,5,28,7
161,2014 FIFA Men's World Cup,A-1,P-14758,T-03,Argentina,Argentina,ARG,2014,Lionel Messi,https://en.wikipedia.org/wiki/Lionel_Messi,Atacante,Bola de Ouro,https://upload.wikimedia.org/wikipedia/commons/2/27/Lionel_Messi_NE_Revolution_Inter_Miami_7.9.25-178.jpg,4,27,7
162,2014 FIFA Men's World Cup,A-2,P-28154,T-31,Germany,Alemanha,DEU,2014,Thomas Müller,https://en.wikipedia.org/wiki/Thomas_M%C3%BCller,Meio-campista,Bola de Prata,https://upload.wikimedia.org/wikipedia/commons/a/aa/FC_Red_Bull_Salzburg_gegen_Bayern_M%C3%BCnchen_%282025-01-06_Testspiel%29_19.jpg,5,24,7
163,2014 FIFA Men's World Cup,A-3,P-23705,T-48,Netherlands,Holanda,NLD,2014,Arjen Robben,https://en.wikipedia.org/wiki/Arjen_Robben,Meio-campista,Bola de Bronze,https://upload.wikimedia.org/wikipedia/commons/4/42/Arjen_Robben_v_Shakhtar_2015_%28cropped%29.jpg,3,30,7
177,2018 FIFA Men's World Cup,A-1,P-29491,T-18,Croatia,Croácia,HRV,2018,Luka Modrić,https://en.wikipedia.org/wiki/Luka_Modri%C4%87,Meio-campista,Bola de Ouro,https://upload.wikimedia.org/wikipedia/commons/1/1b/Ofrenda_de_la_Liga_y_la_Champions-57-L.Mill%C3%A1n_%2852109310843%29_%28Luka_Modri%C4%87%29.jpg,2,32,7
178,2018 FIFA Men's World Cup,A-2,P-72011,T-06,Belgium,Bélgica,BEL,2018,Eden Hazard,https://en.wikipedia.org/wiki/Eden_Hazard,Meio-campista,Bola de Prata,https://upload.wikimedia.org/wikipedia/commons/4/46/Eden_Hazard_at_Baku_before_2019_UEFA_Europe_League_Final.jpg,3,27,6
179,2018 FIFA Men's World Cup,A-3,P-90908,T-30,France,França,FRA,2018,Antoine Griezmann,https://en.wikipedia.org/wiki/Antoine_Griezmann,Atacante,Bola de Bronze,https://upload.wikimedia.org/wikipedia/commons/6/6e/FRA-ARG_%2810%29_%28cropped%29.jpg,4,27,7
193,2022 FIFA Men's World Cup,A-1,P-14758,T-03,Argentina,Argentina,ARG,2022,Lionel Messi,https://en.wikipedia.org/wiki/Lionel_Messi,Atacante,Bola de Ouro,https://upload.wikimedia.org/wikipedia/commons/2/27/Lionel_Messi_NE_Revolution_Inter_Miami_7.9.25-178.jpg,7,35,7
194,2022 FIFA Men's World Cup,A-2,P-64077,T-30,France,França,FRA,2022,Kylian Mbappé,https://en.wikipedia.org/wiki/Kylian_Mbapp%C3%A9,Atacante,Bola de Prata,https://upload.wikimedia.org/wikipedia/commons/6/66/Picture_with_Mbapp%C3%A9_%28cropped_and_rotated%29.jpg,8,23,7
195,2022 FIFA Men's World Cup,A-3,P-29491,T-18,Croatia,Croácia,HRV,2022,Luka Modrić,https://en.wikipedia.org/wiki/Luka_Modri%C4%87,Meio-campista,Bola de Bronze,https://upload.wikimedia.org/wikipedia/commons/1/1b/Ofrenda_de_la_Liga_y_la_Champions-57-L.Mill%C3%A1n_%2852109310843%29_%28Luka_Modri%C4%87%29.jpg,0,37,7
