Modelo,Brier Mediana,IC Inferior,IC Superior,IC 95%
N Poisson Ranking,0.5683987700424868,0.5427585649014476,0.5968367012060545,[0.5428  -  0.5968]
N Dc Ranking,0.5708170665578525,0.5440366288642035,0.5991781219688033,[0.5440  -  0.5992]
St Poisson Ranking,0.5711623106038826,0.5453674938736552,0.5987567823144846,[0.5454  -  0.5988]
St Dc Ranking,0.5733198270850792,0.5473535784313953,0.6011736554206697,[0.5474  -  0.6012]
N Poisson Noranking,0.5878963902402896,0.5582446231786212,0.6206801772267647,[0.5582  -  0.6207]
N Dc Noranking,0.5900030629749637,0.5594963529848984,0.622649313175329,[0.5595  -  0.6226]
St Poisson Noranking,0.5918952055368578,0.5610760673725379,0.6251435016924847,[0.5611  -  0.6251]
St Dc Noranking,0.5940819553103224,0.5629540075742197,0.6278577200715271,[0.5630  -  0.6279]
