Modelo,Brier Mediana,IC Inferior,IC Superior,IC 95%
N Dc Ranking,0.6150682986295244,0.5917753113201987,0.6397639584877461,[0.5918  -  0.6398]
N Poisson Ranking,0.6151344276247119,0.592123039628868,0.6407790639998877,[0.5921  -  0.6408]
St Dc Ranking,0.6156391355787911,0.5924034674818671,0.6409734867910986,[0.5924  -  0.6410]
St Poisson Ranking,0.6157317470853451,0.5917230201966891,0.641360512654361,[0.5917  -  0.6414]
St Poisson Noranking,0.6220662371128536,0.5953331347474164,0.6519346487519645,[0.5953  -  0.6519]
St Dc Noranking,0.6221421961067202,0.5956417832759533,0.6513299509824546,[0.5956  -  0.6513]
N Dc Noranking,0.6233418331278825,0.5968477048375317,0.6521297818738366,[0.5968  -  0.6521]
N Poisson Noranking,0.623394172685434,0.5968607535294528,0.6523751870751057,[0.5969  -  0.6524]
