Modelo,Brier Mediana,IC Inferior,IC Superior,IC 95%
St Dc Noranking,0.8431672103574943,0.7950976131602879,0.8916777127126391,[0.7951  -  0.8917]
St Poisson Noranking,0.843601461720245,0.795962962702339,0.8905839421531714,[0.7960  -  0.8906]
St Dc Ranking,0.8479649766084782,0.8024485350321415,0.8934236704598579,[0.8024  -  0.8934]
St Poisson Ranking,0.848974638425102,0.8028150473404866,0.8950549485757553,[0.8028  -  0.8951]
N Dc Noranking,0.8491306898137596,0.8011704499635643,0.8973333983047256,[0.8012  -  0.8973]
N Poisson Noranking,0.8498662629182567,0.8007852052005848,0.8968110063191657,[0.8008  -  0.8968]
N Dc Ranking,0.8525575751860632,0.80785460613515,0.8987783622248017,[0.8079  -  0.8988]
N Poisson Ranking,0.8542251238155034,0.8070345361923482,0.8989926131263678,[0.8070  -  0.8990]
