group,home_team,away_team,date,home_win,draw,away_win,zero_zero,zero_one,zero_two,zero_three,zero_four,one_zero,one_one,one_two,one_three,one_four,two_zero,two_one,two_two,two_three,two_four,three_zero,three_one,three_two,three_three,three_four,four_zero,four_one,four_two,four_three,four_four
L,Inglaterra,Gana,23/06,82.972,12.042,4.986,4.604,2.265,0.535,0.098,0.012,11.484,5.372,1.378,0.236,0.022,14.672,6.974,1.763,0.334,0.045,13.168,6.292,1.548,0.281,0.039,8.927,4.325,1.03,0.21,0.022
A,Tchéquia,México,24/06,18.735,25.634,55.631,10.278,15.504,11.598,5.98,2.496,7.777,11.456,8.684,4.679,1.814,2.989,4.398,3.431,1.719,0.683,0.75,1.135,0.887,0.426,0.205,0.164,0.227,0.179,0.08,0.038
B,Canadá,Bósnia e Herzegovina,12/06,55.064,24.769,20.167,8.618,7.343,3.131,0.93,0.228,13.416,11.482,4.893,1.472,0.325,10.733,9.186,3.927,1.204,0.267,5.849,5.003,2.234,0.674,0.147,2.467,2.162,0.941,0.263,0.063
C,Brasil,Haiti,19/06,88.189,8.448,3.363,2.523,1.241,0.334,0.075,0.013,7.558,3.942,1.047,0.221,0.018,11.753,6.093,1.641,0.3,0.033,12.252,6.488,1.654,0.306,0.062,10.39,5.428,1.375,0.251,0.029
D,Turquia,EUA,25/06,39.576,24.145,36.279,5.224,7.622,5.485,2.611,0.957,7.957,11.211,7.949,3.865,1.456,5.948,8.361,6.023,2.906,1.131,3.046,4.312,3.094,1.447,0.554,1.241,1.71,1.2,0.573,0.221
E,Alemanha,Curaçao,14/06,90.397,6.83,2.773,1.788,1.002,0.274,0.048,0.006,6.284,3.233,0.883,0.154,0.023,10.294,5.361,1.465,0.276,0.039,12.098,6.325,1.656,0.306,0.049,10.751,5.494,1.533,0.293,0.035
F,Países Baixos,Suécia,20/06,70.617,15.808,13.575,2.494,2.673,1.49,0.564,0.177,6.377,6.736,3.662,1.415,0.378,8.317,8.754,4.726,1.741,0.503,7.22,7.69,4.214,1.5,0.46,4.86,5.163,2.84,1.062,0.314
G,Nova Zelândia,Bélgica,26/06,11.628,19.907,68.465,7.25,13.986,13.395,9.201,4.673,4.739,9.145,8.682,5.854,3.064,1.653,2.954,3.007,2.054,1.074,0.384,0.711,0.703,0.444,0.257,0.061,0.116,0.126,0.104,0.057
H,Espanha,Cabo Verde,15/06,90.903,6.728,2.369,2.228,0.983,0.234,0.032,0.001,7.331,3.153,0.759,0.127,0.013,12.022,5.138,1.105,0.178,0.018,13.273,5.837,1.367,0.219,0.016,11.771,4.95,1.11,0.169,0.019
I,França,Iraque,22/06,77.909,15.274,6.817,6.03,3.129,0.829,0.14,0.02,13.67,6.855,1.813,0.337,0.059,15.27,7.834,2.094,0.38,0.046,12.003,5.968,1.698,0.274,0.049,7.122,3.686,1.006,0.165,0.021
J,Jordânia,Argentina,27/06,5.081,11.277,83.642,3.687,10.054,13.559,12.661,8.813,2.037,5.22,7.146,6.749,4.831,0.558,1.433,1.984,1.854,1.407,0.13,0.29,0.426,0.345,0.243,0.022,0.04,0.037,0.078,0.037
K,Portugal,República Democrática do Congo,17/06,66.328,22.041,11.631,9.737,5.465,1.67,0.337,0.048,16.678,9.459,2.798,0.509,0.091,14.606,8.461,2.527,0.534,0.084,8.851,5.05,1.486,0.288,0.047,4.131,2.266,0.656,0.14,0.027
L,Panamá,Inglaterra,27/06,7.129,14.428,78.443,4.869,11.795,14.111,11.787,7.459,2.852,6.733,8.108,6.502,4.127,0.845,2.022,2.411,2.002,1.161,0.172,0.447,0.508,0.368,0.228,0.02,0.081,0.069,0.077,0.044
A,África do Sul,Coreia do Sul,24/06,25.952,24.464,49.584,6.591,10.189,8.462,4.665,1.997,7.071,11.339,9.104,5.21,2.195,4.009,6.197,5.307,2.988,1.26,1.556,2.413,1.939,1.081,0.453,0.461,0.724,0.572,0.339,0.134
B,Catar,Suíça,13/06,7.502,12.28,80.218,2.647,7.203,10.036,9.759,7.312,2.027,5.5,7.851,7.761,5.841,0.839,2.224,3.135,3.139,2.345,0.198,0.647,0.908,0.85,0.611,0.044,0.126,0.18,0.173,0.13
C,Escócia,Marrocos,19/06,16.015,25.678,58.307,11.577,17.438,12.98,6.704,2.668,7.405,11.092,8.265,4.411,1.638,2.505,3.678,2.682,1.403,0.543,0.515,0.825,0.595,0.31,0.151,0.087,0.157,0.113,0.065,0.015
D,Paraguai,Austrália,25/06,27.596,30.517,41.887,14.345,15.472,8.759,3.313,1.03,11.602,12.808,7.324,2.877,0.817,5.147,5.594,3.018,1.134,0.344,1.464,1.592,0.917,0.318,0.105,0.362,0.365,0.21,0.094,0.027
E,Costa do Marfim,Equador,14/06,15.209,31.463,53.328,19.525,22.319,12.966,5.232,1.653,9.19,10.409,6.164,2.421,0.825,2.304,2.469,1.426,0.588,0.208,0.36,0.413,0.296,0.099,0.029,0.047,0.064,0.032,0.016,0.004
F,Tunísia,Japão,20/06,13.607,23.298,63.095,9.972,16.278,13.594,8.073,3.566,6.019,10.291,8.644,4.991,2.196,2.064,3.279,2.659,1.534,0.709,0.448,0.757,0.62,0.346,0.144,0.077,0.119,0.115,0.05,0.03
G,Egito,Irã,26/06,35.854,28.46,35.686,10.724,11.938,6.675,2.485,0.748,11.911,12.938,7.255,2.762,0.807,6.853,7.202,4.094,1.593,0.523,2.553,2.775,1.645,0.648,0.183,0.772,0.809,0.474,0.166,0.049
