home_team,away_team,home_win,draw,away_win,zero_zero,zero_one,zero_two,zero_three,zero_four,one_zero,one_one,one_two,one_three,one_four,two_zero,two_one,two_two,two_three,two_four,three_zero,three_one,three_two,three_three,three_four,four_zero,four_one,four_two,four_three,four_four
Suíça,Argentina,16.366,22.242,61.392,7.478,12.874,11.812,7.368,3.512,5.859,10.273,9.216,5.667,2.749,2.461,4.182,3.772,2.383,1.105,0.683,1.207,1.037,0.638,0.32,0.161,0.268,0.208,0.143,0.077
Suíça,Áustria,40.567,25.683,33.75,7.127,8.833,5.376,2.406,0.768,9.721,12.0,7.581,3.205,1.078,6.782,8.461,5.325,2.222,0.782,3.311,4.064,2.465,1.077,0.395,1.249,1.512,0.875,0.4,0.139
Suíça,Argélia,52.063,23.536,24.401,6.283,6.495,3.624,1.431,0.411,10.047,10.795,6.084,2.26,0.67,8.668,9.344,5.182,1.873,0.592,5.135,5.55,3.025,1.123,0.354,2.434,2.419,1.399,0.47,0.146
Suíça,Jordânia,66.03,18.496,15.474,3.889,3.727,1.955,0.702,0.211,8.435,8.371,4.238,1.487,0.386,9.203,9.285,4.794,1.581,0.413,7.246,7.264,3.683,1.219,0.358,4.376,4.272,2.165,0.78,0.2
Suíça,Portugal,27.213,22.945,49.842,5.09,8.691,7.702,4.462,2.117,6.116,10.422,9.252,5.565,2.538,3.818,6.527,5.69,3.376,1.587,1.71,2.773,2.476,1.518,0.687,0.517,0.954,0.83,0.474,0.202
Suíça,Colômbia,26.144,22.883,50.973,5.344,9.261,8.049,4.82,2.202,6.177,10.528,9.218,5.456,2.532,3.742,6.308,5.479,3.275,1.519,1.535,2.599,2.338,1.331,0.65,0.537,0.834,0.715,0.423,0.177
Suíça,Uzbequistão,52.844,25.941,21.215,9.972,8.21,3.451,0.923,0.21,14.476,11.754,5.077,1.408,0.317,10.687,8.564,3.617,1.064,0.236,5.541,4.556,1.895,0.533,0.126,2.146,1.748,0.735,0.213,0.061
Suíça,República Democrática do Congo,56.433,25.947,17.62,11.387,7.819,2.756,0.67,0.144,16.519,11.234,4.056,0.934,0.195,12.136,8.343,2.929,0.745,0.136,6.36,4.325,1.521,0.363,0.062,2.524,1.75,0.595,0.151,0.034
Suíça,Inglaterra,19.923,24.638,55.439,8.306,13.092,10.793,6.08,2.565,6.998,11.415,9.118,5.138,2.147,3.066,4.909,4.134,2.26,0.922,0.917,1.502,1.222,0.705,0.309,0.224,0.356,0.317,0.167,0.067
Suíça,Croácia,35.389,26.0,38.611,7.488,9.843,6.55,3.059,1.075,9.316,12.192,8.199,3.674,1.306,5.871,7.766,5.165,2.337,0.844,2.63,3.391,2.256,1.023,0.381,0.805,1.113,0.764,0.349,0.12
Suíça,Gana,72.171,16.486,11.343,4.089,3.302,1.437,0.368,0.097,9.322,7.603,3.228,0.914,0.24,11.039,8.795,3.787,1.125,0.21,8.882,7.353,3.152,0.889,0.217,5.741,4.542,1.945,0.554,0.109
Suíça,Panamá,65.24,19.013,15.747,4.117,4.079,2.045,0.636,0.204,8.793,8.744,4.269,1.438,0.385,9.77,9.406,4.736,1.622,0.406,7.278,7.05,3.53,1.22,0.269,4.255,4.078,2.034,0.713,0.177
Bósnia e Herzegovina,Catar,44.239,25.024,30.737,6.579,8.094,4.788,2.033,0.633,9.702,11.701,7.029,3.009,0.946,7.474,8.762,5.426,2.173,0.702,3.833,4.618,2.772,1.156,0.354,1.526,1.849,1.035,0.435,0.145
Brasil,Marrocos,32.73,32.046,35.224,15.839,14.778,7.037,2.357,0.562,13.862,12.972,6.326,2.04,0.477,6.538,5.967,2.93,0.948,0.253,1.98,1.957,0.897,0.286,0.085,0.47,0.44,0.232,0.072,0.019
Escócia,Brasil,16.502,21.094,62.404,6.185,11.741,11.13,7.328,3.668,5.41,9.85,9.32,6.215,3.174,2.237,4.398,4.162,2.622,1.37,0.683,1.327,1.276,0.8,0.412,0.146,0.295,0.293,0.2,0.091
Brasil,Haiti,88.248,8.443,3.309,2.493,1.245,0.355,0.058,0.01,7.668,3.951,0.987,0.195,0.028,11.601,6.056,1.641,0.333,0.039,12.458,6.481,1.782,0.326,0.043,10.306,5.281,1.481,0.241,0.032
Escócia,Marrocos,15.961,25.565,58.474,11.556,17.352,13.24,6.62,2.577,7.443,10.921,8.245,4.358,1.756,2.382,3.606,2.731,1.419,0.572,0.55,0.829,0.647,0.338,0.141,0.115,0.166,0.089,0.054,0.018
Marrocos,Haiti,83.848,12.032,4.12,5.555,2.162,0.415,0.061,0.009,13.487,5.034,1.086,0.14,0.022,16.729,6.45,1.283,0.182,0.021,14.424,5.435,1.126,0.15,0.018,9.319,3.513,0.703,0.108,0.009
Catar,Brasil,4.081,9.082,86.837,2.474,7.512,11.394,11.941,9.638,1.409,4.207,6.764,6.949,5.471,0.401,1.288,1.962,2.112,1.72,0.098,0.279,0.398,0.389,0.347,0.007,0.047,0.05,0.063,0.042
Catar,Marrocos,4.829,13.047,82.124,5.49,13.469,16.251,13.509,8.564,2.427,5.797,7.142,5.846,3.733,0.53,1.235,1.55,1.313,0.816,0.082,0.19,0.266,0.194,0.107,0.008,0.025,0.031,0.023,0.016
Catar,Escócia,14.411,18.336,67.253,4.242,9.132,10.231,7.724,4.563,3.946,8.375,9.44,7.133,4.167,1.854,3.852,4.386,3.317,1.974,0.592,1.325,1.419,1.165,0.667,0.166,0.323,0.369,0.262,0.151
Catar,Haiti,42.237,24.06,33.703,5.436,7.166,4.998,2.462,0.888,8.25,11.058,7.69,3.538,1.191,6.381,8.543,5.889,2.766,0.995,3.343,4.628,3.176,1.427,0.566,1.431,1.951,1.294,0.608,0.232
Catar,EUA,15.118,18.73,66.152,4.187,9.007,10.103,7.469,4.344,3.935,8.54,9.535,7.025,4.171,1.859,4.137,4.677,3.461,2.009,0.631,1.445,1.521,1.162,0.645,0.176,0.344,0.402,0.305,0.144
Catar,Austrália,9.734,16.511,73.755,4.925,11.064,12.696,10.156,5.923,3.429,7.825,8.914,6.984,4.133,1.197,2.781,3.1,2.522,1.429,0.291,0.693,0.794,0.589,0.347,0.066,0.114,0.161,0.111,0.065
Catar,Paraguai,14.458,21.821,63.721,7.824,13.931,12.643,8.011,3.817,5.671,10.047,8.926,5.635,2.681,2.125,3.671,3.41,2.062,1.023,0.521,0.936,0.873,0.478,0.26,0.119,0.187,0.13,0.093,0.056
Catar,Turquia,14.161,17.621,68.218,3.558,8.24,9.779,7.748,4.687,3.554,8.055,9.136,7.35,4.56,1.707,3.883,4.581,3.57,2.249,0.586,1.33,1.519,1.23,0.73,0.163,0.355,0.392,0.326,0.184
Catar,Alemanha,3.514,7.297,89.189,1.373,4.77,8.4,10.424,9.511,0.954,3.232,5.729,6.894,6.216,0.308,1.148,1.984,2.402,2.214,0.067,0.264,0.466,0.594,0.528,0.013,0.051,0.087,0.097,0.098
Catar,Equador,8.805,20.456,70.739,9.876,17.704,16.474,10.199,4.972,4.615,8.412,7.597,4.811,2.377,1.131,2.106,1.946,1.158,0.611,0.176,0.336,0.279,0.212,0.093,0.032,0.038,0.041,0.037,0.009
Catar,Costa do Marfim,24.166,25.476,50.358,8.707,12.687,9.653,4.97,2.01,8.02,11.67,9.074,4.568,1.841,3.95,5.81,4.275,2.161,0.883,1.294,1.89,1.436,0.735,0.294,0.332,0.516,0.377,0.177,0.084
Catar,Curaçao,44.235,25.236,30.529,7.169,8.241,4.897,2.011,0.627,9.995,11.721,7.022,2.828,0.951,7.634,8.832,5.152,2.064,0.689,3.882,4.472,2.657,1.048,0.311,1.438,1.737,1.055,0.392,0.133
Catar,Países Baixos,3.972,8.436,87.592,1.791,5.789,9.74,10.987,9.358,1.142,3.859,6.296,7.096,6.246,0.361,1.265,2.112,2.441,2.041,0.099,0.288,0.494,0.561,0.48,0.018,0.045,0.096,0.105,0.099
Catar,Japão,4.681,9.74,85.579,2.31,7.149,10.949,11.328,9.078,1.436,4.638,6.898,7.177,5.854,0.497,1.476,2.188,2.406,1.897,0.104,0.343,0.509,0.524,0.434,0.012,0.07,0.082,0.093,0.073
Catar,Tunísia,20.814,25.698,53.488,9.829,14.716,10.699,5.63,2.259,8.058,11.65,8.923,4.516,1.731,3.342,4.877,3.659,1.832,0.779,0.952,1.452,1.051,0.513,0.21,0.244,0.303,0.232,0.104,0.045
Catar,Suécia,16.567,17.456,65.977,2.701,6.346,7.758,6.485,4.026,2.942,7.276,8.811,7.549,4.774,1.852,4.335,5.248,4.354,2.839,0.727,1.763,2.09,1.822,1.132,0.269,0.57,0.666,0.593,0.347
Catar,Bélgica,6.969,13.462,79.569,3.875,9.605,12.556,11.286,7.782,2.435,6.256,7.857,7.279,4.887,0.822,2.06,2.728,2.246,1.578,0.184,0.465,0.595,0.522,0.401,0.035,0.107,0.111,0.086,0.074
Catar,Egito,19.937,24.45,55.613,8.456,13.537,10.814,5.964,2.593,7.143,11.308,9.159,5.065,2.077,3.045,4.884,3.966,2.261,0.988,0.95,1.442,1.227,0.64,0.267,0.226,0.376,0.266,0.146,0.072
Catar,Irã,20.097,21.248,58.655,4.887,9.377,9.406,6.134,3.207,5.16,9.819,9.617,6.525,3.247,2.787,5.3,5.08,3.369,1.587,0.95,1.905,1.859,1.245,0.611,0.276,0.551,0.463,0.334,0.202
Catar,Nova Zelândia,28.592,24.93,46.478,6.922,10.371,8.086,4.222,1.654,7.657,11.626,8.826,4.727,1.974,4.595,6.617,5.135,2.705,1.109,1.863,2.719,1.972,1.097,0.424,0.547,0.819,0.629,0.352,0.137
Catar,Espanha,1.47,4.166,94.364,0.958,3.9,7.869,11.017,11.528,0.491,1.93,3.971,5.21,5.544,0.103,0.488,1.019,1.355,1.38,0.033,0.084,0.179,0.225,0.241,0.003,0.01,0.03,0.034,0.033
Catar,Uruguai,7.459,16.412,76.129,6.745,14.091,15.505,11.621,6.696,3.489,7.248,7.899,5.939,3.289,0.921,1.905,2.101,1.597,0.893,0.139,0.364,0.421,0.289,0.167,0.031,0.055,0.072,0.033,0.029
Catar,Arábia Saudita,27.853,27.478,44.669,9.743,12.762,8.595,3.896,1.426,9.479,12.675,8.477,3.863,1.371,4.739,6.3,4.354,1.963,0.696,1.647,2.186,1.494,0.65,0.231,0.439,0.578,0.355,0.191,0.052
Catar,Cabo Verde,34.813,25.787,39.4,7.551,9.864,6.734,3.136,1.139,9.245,12.043,8.296,3.804,1.383,5.702,7.652,5.016,2.436,0.844,2.558,3.335,2.272,1.051,0.36,0.795,1.053,0.734,0.347,0.121
Catar,França,2.829,7.23,89.941,1.932,6.557,11.023,12.547,10.86,1.009,3.418,5.662,6.345,5.6,0.286,0.901,1.496,1.656,1.468,0.06,0.166,0.267,0.337,0.284,0.008,0.024,0.037,0.051,0.044
Catar,Senegal,10.34,16.658,73.002,4.673,10.781,12.444,9.677,5.788,3.465,7.807,9.044,7.117,4.197,1.252,3.034,3.438,2.661,1.564,0.323,0.748,0.907,0.653,0.431,0.059,0.156,0.158,0.13,0.081
Catar,Noruega,5.641,9.587,84.772,1.682,5.225,8.408,9.352,8.056,1.259,4.017,6.652,7.52,6.271,0.553,1.699,2.818,3.143,2.663,0.165,0.475,0.831,0.879,0.779,0.032,0.094,0.174,0.214,0.163
Catar,Iraque,25.805,25.288,48.907,7.817,11.856,9.073,4.72,1.821,7.805,11.81,9.035,4.531,1.881,4.2,6.192,4.674,2.422,0.946,1.519,2.225,1.703,0.861,0.33,0.392,0.565,0.457,0.249,0.115
Catar,Argentina,2.021,6.08,91.899,2.011,6.695,11.543,13.408,12.304,0.886,2.825,4.876,5.594,5.038,0.194,0.614,1.039,1.234,1.07,0.023,0.093,0.149,0.188,0.166,0.002,0.006,0.018,0.028,0.016
Catar,Áustria,9.555,15.615,74.83,4.265,10.123,12.004,10.059,6.264,3.06,7.289,8.749,7.251,4.408,1.2,2.838,3.23,2.67,1.663,0.294,0.701,0.825,0.722,0.452,0.07,0.142,0.164,0.133,0.104
Catar,Argélia,15.067,19.31,65.623,4.909,10.086,10.801,7.848,4.286,4.331,8.912,9.523,6.891,3.828,1.923,4.195,4.381,3.084,1.71,0.614,1.32,1.367,0.966,0.516,0.156,0.33,0.322,0.236,0.135
Catar,Jordânia,23.246,21.527,55.227,4.291,8.165,8.164,5.461,2.653,5.102,9.66,9.343,6.365,3.168,3.118,5.882,5.667,3.733,1.826,1.214,2.439,2.261,1.59,0.742,0.412,0.714,0.751,0.49,0.291
Catar,Portugal,3.979,8.199,87.822,1.762,5.771,9.566,11.175,9.588,1.115,3.715,6.206,7.197,6.116,0.401,1.288,2.107,2.286,2.1,0.092,0.302,0.509,0.525,0.476,0.017,0.043,0.074,0.103,0.079
Catar,Colômbia,3.697,8.156,88.147,1.867,5.939,9.963,11.293,9.711,1.143,3.761,6.163,6.982,5.957,0.366,1.146,1.978,2.126,1.911,0.093,0.255,0.426,0.475,0.431,0.009,0.046,0.061,0.101,0.069
Catar,Uzbequistão,18.257,24.859,56.884,9.521,14.61,11.629,6.362,2.606,7.084,11.225,8.97,5.017,2.031,2.905,4.421,3.523,1.904,0.782,0.825,1.162,0.92,0.545,0.231,0.198,0.256,0.218,0.118,0.038
Catar,República Democrática do Congo,21.832,28.014,50.154,12.129,15.802,10.661,4.864,1.721,9.208,12.094,8.248,3.883,1.391,3.673,4.905,3.367,1.465,0.519,0.946,1.264,0.92,0.398,0.132,0.205,0.279,0.181,0.092,0.024
Catar,Inglaterra,2.791,8.097,89.112,2.719,8.249,12.911,13.645,11.078,1.255,3.726,5.726,6.116,5.046,0.269,0.82,1.389,1.474,1.174,0.037,0.144,0.18,0.237,0.187,0.009,0.017,0.029,0.026,0.024
Catar,Croácia,7.228,13.817,78.955,4.007,9.778,12.512,11.147,7.424,2.471,6.365,8.211,7.161,4.823,0.831,2.153,2.795,2.451,1.669,0.21,0.532,0.656,0.572,0.387,0.03,0.079,0.106,0.1,0.076
Catar,Gana,30.002,24.031,45.967,5.681,8.913,7.177,4.047,1.779,6.968,11.091,8.976,5.009,2.126,4.559,7.07,5.699,3.164,1.391,1.908,3.003,2.517,1.332,0.569,0.592,0.983,0.795,0.445,0.208
Catar,Panamá,22.688,21.84,55.472,4.559,8.632,8.248,5.542,2.735,5.261,9.933,9.577,6.109,3.123,3.031,5.659,5.646,3.613,1.867,1.214,2.298,2.263,1.462,0.716,0.367,0.723,0.682,0.447,0.223
Bósnia e Herzegovina,Brasil,6.608,14.094,79.298,4.747,11.137,13.719,11.697,7.577,2.633,6.541,8.003,6.784,4.345,0.805,1.848,2.353,1.98,1.322,0.168,0.412,0.485,0.412,0.236,0.022,0.068,0.058,0.067,0.04
Bósnia e Herzegovina,Marrocos,7.338,18.643,74.019,9.228,17.481,17.18,11.491,5.816,3.945,7.531,7.329,4.849,2.497,0.921,1.715,1.697,1.063,0.54,0.128,0.283,0.241,0.18,0.087,0.016,0.024,0.036,0.02,0.007
Bósnia e Herzegovina,Escócia,19.176,22.738,58.086,6.719,11.812,10.294,6.435,3.094,6.063,10.564,9.339,5.742,2.732,2.804,4.842,4.443,2.702,1.308,0.873,1.612,1.438,0.895,0.394,0.262,0.4,0.347,0.212,0.11
Bósnia e Herzegovina,Haiti,48.216,25.083,26.701,7.202,7.762,4.234,1.569,0.453,10.735,11.688,6.279,2.497,0.704,8.571,9.026,5.035,1.799,0.528,4.532,4.834,2.647,1.032,0.281,1.804,1.993,1.003,0.425,0.115
Bósnia e Herzegovina,EUA,20.379,22.707,56.914,6.438,11.392,9.925,6.038,2.798,6.239,10.568,9.469,5.833,2.785,3.086,5.204,4.646,2.797,1.314,0.996,1.67,1.547,0.939,0.438,0.254,0.4,0.384,0.24,0.106
Bósnia e Herzegovina,Austrália,13.475,21.477,65.048,8.088,14.195,13.345,8.267,3.954,5.267,9.735,8.96,5.635,2.738,1.908,3.593,3.1,1.958,0.999,0.455,0.838,0.81,0.511,0.239,0.079,0.165,0.164,0.092,0.039
Bósnia e Herzegovina,Paraguai,18.657,26.399,54.944,11.41,16.183,11.939,5.833,2.288,8.087,11.517,8.459,4.21,1.685,3.047,4.268,3.043,1.526,0.568,0.767,1.04,0.755,0.392,0.144,0.138,0.212,0.142,0.077,0.036
Bósnia e Herzegovina,Turquia,19.223,21.938,58.839,5.977,10.738,9.906,6.368,3.121,5.499,10.105,9.596,6.063,2.944,2.731,4.982,4.715,2.986,1.53,0.923,1.676,1.627,1.01,0.49,0.232,0.449,0.435,0.291,0.116
Bósnia e Herzegovina,Alemanha,5.925,11.332,82.743,2.747,7.94,11.388,11.053,8.152,1.937,5.391,7.651,7.342,5.463,0.642,1.764,2.542,2.561,1.813,0.149,0.407,0.625,0.547,0.465,0.038,0.063,0.132,0.094,0.101
Bósnia e Herzegovina,Equador,11.923,25.789,62.288,14.332,20.563,15.257,7.763,3.047,6.83,9.582,7.121,3.651,1.384,1.573,2.352,1.714,0.88,0.34,0.276,0.386,0.322,0.155,0.043,0.03,0.074,0.032,0.02,0.006
Bósnia e Herzegovina,Costa do Marfim,28.67,28.784,42.546,11.686,14.013,8.494,3.616,1.121,10.853,12.745,7.735,3.294,1.024,5.061,6.116,3.799,1.583,0.483,1.673,2.009,1.208,0.509,0.168,0.44,0.509,0.301,0.142,0.042
Bósnia e Herzegovina,Curaçao,49.017,26.098,24.885,9.22,8.421,4.18,1.341,0.334,13.05,11.888,5.918,1.97,0.452,9.342,8.678,4.197,1.422,0.346,4.625,4.501,2.087,0.735,0.167,1.879,1.686,0.788,0.294,0.054
Bósnia e Herzegovina,Países Baixos,6.551,13.0,80.449,3.607,9.198,12.467,11.187,7.594,2.241,5.957,8.003,7.218,4.913,0.75,1.938,2.793,2.46,1.686,0.188,0.46,0.61,0.569,0.401,0.026,0.085,0.099,0.095,0.065
Bósnia e Herzegovina,Japão,7.591,14.361,78.048,4.516,10.697,13.311,11.2,6.934,2.775,6.602,8.292,6.846,4.567,0.958,2.178,2.687,2.212,1.452,0.194,0.483,0.645,0.494,0.326,0.028,0.071,0.106,0.088,0.055
Bósnia e Herzegovina,Tunísia,25.202,29.597,45.201,13.638,15.774,9.535,4.07,1.257,10.768,12.469,7.562,3.253,1.015,4.563,5.151,3.082,1.317,0.375,1.27,1.448,0.901,0.373,0.133,0.284,0.339,0.209,0.081,0.033
Bósnia e Herzegovina,Suécia,22.445,21.198,56.357,4.448,8.535,8.117,5.517,2.884,4.987,9.524,9.286,6.38,3.248,2.926,5.759,5.481,3.774,1.937,1.163,2.29,2.265,1.468,0.787,0.37,0.726,0.706,0.447,0.255
Bósnia e Herzegovina,Bélgica,10.328,18.52,71.152,6.567,13.191,13.743,9.788,5.24,4.132,8.565,8.711,6.306,3.43,1.366,2.826,2.913,2.08,1.154,0.322,0.611,0.649,0.434,0.255,0.044,0.102,0.118,0.085,0.036
Bósnia e Herzegovina,Egito,24.452,28.485,47.063,11.805,15.01,9.677,4.351,1.481,9.842,12.674,8.187,3.673,1.241,4.201,5.4,3.503,1.541,0.497,1.25,1.563,0.983,0.473,0.17,0.264,0.36,0.241,0.121,0.029
Bósnia e Herzegovina,Irã,25.512,24.723,49.765,7.455,11.448,9.011,4.865,1.961,7.689,11.57,9.033,4.859,2.055,4.066,6.038,4.663,2.489,1.032,1.486,2.212,1.756,0.926,0.369,0.412,0.579,0.477,0.258,0.106
Bósnia e Herzegovina,Nova Zelândia,34.163,27.305,38.532,9.489,11.477,7.193,3.042,0.97,10.728,12.589,7.688,3.251,1.085,6.038,7.111,4.359,1.885,0.66,2.422,2.846,1.761,0.788,0.256,0.741,0.901,0.571,0.252,0.078
Bósnia e Herzegovina,Espanha,2.758,7.466,89.776,2.339,7.287,11.622,12.891,10.995,1.105,3.423,5.615,6.302,5.327,0.278,0.827,1.396,1.608,1.444,0.041,0.166,0.236,0.279,0.241,0.005,0.014,0.04,0.032,0.029
Bósnia e Herzegovina,Uruguai,10.402,21.808,67.79,10.561,17.847,15.679,9.31,4.347,5.411,8.946,7.829,4.701,2.188,1.406,2.314,2.048,1.253,0.559,0.283,0.412,0.377,0.235,0.092,0.041,0.056,0.047,0.031,0.016
Bósnia e Herzegovina,Arábia Saudita,32.647,29.984,37.369,12.792,13.621,7.226,2.808,0.797,12.25,13.157,7.087,2.683,0.728,6.231,6.531,3.536,1.306,0.402,2.138,2.259,1.179,0.453,0.105,0.521,0.602,0.354,0.122,0.045
Bósnia e Herzegovina,Cabo Verde,40.14,27.997,31.863,10.3,10.639,5.714,2.021,0.575,12.1,12.643,6.767,2.63,0.716,7.476,7.899,4.302,1.57,0.435,3.343,3.366,1.806,0.691,0.223,1.087,1.132,0.614,0.218,0.057
Bósnia e Herzegovina,França,4.794,11.616,83.59,3.966,10.432,14.16,12.84,9.043,2.028,5.286,7.062,6.579,4.651,0.575,1.375,1.994,1.741,1.241,0.091,0.26,0.309,0.322,0.195,0.012,0.038,0.048,0.033,0.045
Bósnia e Herzegovina,Senegal,14.408,21.678,63.914,7.572,13.585,12.652,8.007,3.852,5.552,9.999,9.133,5.762,2.88,2.088,3.63,3.519,2.145,1.033,0.559,0.964,0.882,0.537,0.291,0.106,0.2,0.19,0.117,0.048
Bósnia e Herzegovina,Noruega,8.917,13.913,77.17,3.084,8.24,10.701,9.523,6.636,2.562,6.446,8.421,7.526,5.154,1.055,2.526,3.357,3.069,2.17,0.252,0.725,1.008,0.893,0.578,0.068,0.152,0.222,0.176,0.123
Bósnia e Herzegovina,Iraque,31.004,28.578,40.418,10.948,12.849,7.816,3.349,1.032,10.881,12.963,7.804,3.186,1.035,5.535,6.639,4.004,1.716,0.488,1.996,2.337,1.42,0.61,0.182,0.564,0.631,0.39,0.16,0.053
Bósnia e Herzegovina,Argentina,3.434,10.236,86.33,4.121,11.081,15.216,14.199,10.271,1.634,4.586,6.235,5.766,4.163,0.35,0.977,1.334,1.213,0.974,0.048,0.139,0.197,0.183,0.146,0.007,0.018,0.023,0.033,0.012
Bósnia e Herzegovina,Áustria,13.314,20.619,66.067,6.925,13.367,12.689,8.514,4.359,5.084,9.523,9.248,5.91,3.012,1.828,3.542,3.522,2.184,1.043,0.469,0.903,0.831,0.588,0.297,0.083,0.171,0.17,0.118,0.059
Bósnia e Herzegovina,Argélia,19.772,23.691,56.537,7.598,12.652,10.712,6.045,2.798,6.602,11.008,9.472,5.352,2.314,3.031,4.985,4.236,2.381,1.086,0.973,1.502,1.323,0.767,0.343,0.223,0.351,0.309,0.169,0.073
Bósnia e Herzegovina,Jordânia,29.027,24.723,46.25,6.449,9.795,7.934,4.177,1.72,7.541,11.598,8.865,4.9,1.95,4.514,6.655,5.341,2.848,1.119,1.893,2.754,2.189,1.168,0.485,0.621,0.921,0.701,0.378,0.151
Bósnia e Herzegovina,Portugal,6.244,12.626,81.13,3.502,9.184,12.44,11.483,7.898,2.199,5.88,7.727,7.14,5.157,0.692,1.936,2.636,2.345,1.56,0.149,0.398,0.535,0.524,0.368,0.023,0.076,0.092,0.083,0.08
Bósnia e Herzegovina,Colômbia,6.235,12.64,81.125,3.773,9.679,12.644,11.644,7.979,2.274,5.869,7.786,7.033,4.92,0.736,1.861,2.395,2.213,1.509,0.162,0.386,0.537,0.536,0.305,0.029,0.057,0.085,0.057,0.062
Bósnia e Herzegovina,Uzbequistão,22.804,28.844,48.352,13.122,16.202,10.419,4.592,1.574,9.974,12.193,7.769,3.443,1.149,3.941,4.743,3.108,1.422,0.464,1.063,1.283,0.846,0.395,0.137,0.239,0.27,0.183,0.087,0.024
Bósnia e Herzegovina,República Democrática do Congo,26.149,31.404,42.447,15.536,16.626,9.179,3.401,1.006,12.119,12.901,6.82,2.652,0.73,4.703,5.026,2.667,1.024,0.298,1.265,1.371,0.727,0.285,0.078,0.262,0.272,0.17,0.07,0.014
Bósnia e Herzegovina,Inglaterra,4.798,12.499,82.703,5.033,12.608,15.787,13.338,8.883,2.274,5.604,6.888,5.952,3.872,0.527,1.334,1.618,1.431,0.937,0.093,0.222,0.244,0.227,0.159,0.009,0.024,0.029,0.027,0.016
Bósnia e Herzegovina,Croácia,10.669,18.476,70.855,6.506,13.226,13.989,9.528,5.12,4.316,8.544,8.872,6.252,3.397,1.399,2.889,2.88,2.113,1.086,0.334,0.641,0.65,0.502,0.253,0.059,0.112,0.103,0.087,0.043
Bósnia e Herzegovina,Gana,35.839,26.307,37.854,7.833,9.902,6.536,2.918,1.011,9.702,12.284,8.039,3.449,1.32,6.097,7.677,5.061,2.371,0.729,2.598,3.406,2.139,1.0,0.317,0.912,1.13,0.732,0.305,0.118
Bósnia e Herzegovina,Panamá,28.592,24.978,46.43,6.947,10.257,7.931,4.141,1.684,7.813,11.636,9.166,4.687,1.946,4.377,6.776,5.218,2.745,1.093,1.842,2.636,2.029,1.039,0.422,0.543,0.816,0.654,0.332,0.131
Brasil,EUA,64.19,20.27,15.54,5.695,4.955,2.209,0.625,0.13,11.273,9.501,4.232,1.224,0.257,11.186,9.678,4.135,1.204,0.28,7.646,6.364,2.787,0.822,0.194,4.082,3.287,1.453,0.414,0.109
Brasil,Austrália,50.446,26.358,23.196,9.675,8.654,3.721,1.177,0.274,13.791,12.073,5.34,1.688,0.414,10.135,8.778,3.951,1.214,0.289,4.855,4.285,1.93,0.582,0.163,1.933,1.702,0.763,0.235,0.074
Brasil,Paraguai,56.763,25.845,17.392,11.145,7.615,2.706,0.657,0.132,16.305,11.216,3.998,0.961,0.202,12.414,8.56,3.087,0.801,0.142,6.356,4.338,1.627,0.361,0.082,2.515,1.732,0.59,0.147,0.034
Brasil,Turquia,63.603,20.176,16.221,5.296,4.807,2.247,0.656,0.179,10.684,9.521,4.324,1.357,0.346,10.569,9.612,4.333,1.428,0.363,7.468,6.494,2.996,0.911,0.229,3.767,3.476,1.591,0.495,0.108
Brasil,Alemanha,37.64,24.731,37.629,5.908,8.24,5.923,2.794,1.088,8.322,11.559,8.066,4.01,1.466,5.951,8.104,5.735,2.722,1.034,2.8,4.027,2.782,1.346,0.529,1.018,1.404,1.066,0.472,0.164
Brasil,Equador,40.98,33.47,25.55,18.439,12.859,4.626,1.154,0.237,17.964,12.552,4.471,1.134,0.213,8.811,6.198,2.268,0.567,0.114,3.019,2.174,0.76,0.206,0.045,0.853,0.561,0.165,0.039,0.005
Brasil,Costa do Marfim,70.708,19.199,10.093,7.754,4.501,1.353,0.264,0.043,15.233,8.574,2.638,0.516,0.087,14.724,8.571,2.52,0.5,0.099,9.831,5.627,1.645,0.319,0.054,5.187,3.022,0.869,0.187,0.031
Brasil,Curaçao,87.845,8.965,3.19,3.205,1.431,0.319,0.051,0.006,9.142,4.126,0.942,0.153,0.017,13.768,6.108,1.383,0.2,0.026,13.558,6.132,1.314,0.23,0.029,10.59,4.705,1.103,0.172,0.019
Brasil,Países Baixos,39.212,25.555,35.233,7.02,8.697,5.753,2.634,0.898,9.409,11.824,7.783,3.419,1.156,6.285,8.283,5.412,2.475,0.812,3.119,3.94,2.573,1.148,0.384,1.173,1.434,0.978,0.394,0.132
Brasil,Japão,39.672,26.481,33.847,8.105,9.413,5.723,2.473,0.791,10.398,12.298,7.527,3.008,0.974,6.827,8.112,5.009,2.039,0.658,3.19,3.848,2.264,0.952,0.296,1.109,1.324,0.831,0.328,0.106
Brasil,Tunísia,64.965,22.789,12.246,10.212,5.94,1.74,0.349,0.054,17.379,9.804,2.802,0.576,0.096,14.617,8.015,2.516,0.527,0.085,8.563,4.776,1.41,0.238,0.032,3.795,2.167,0.622,0.123,0.018
Brasil,Suécia,70.107,16.743,13.15,3.505,3.237,1.513,0.533,0.125,7.994,7.547,3.685,1.24,0.334,9.789,9.133,4.319,1.478,0.384,7.997,7.453,3.54,1.187,0.292,4.954,4.689,2.268,0.713,0.171
