home_team,away_team,home_win,draw,away_win,zero_zero,zero_one,zero_two,zero_three,zero_four,one_zero,one_one,one_two,one_three,one_four,two_zero,two_one,two_two,two_three,two_four,three_zero,three_one,three_two,three_three,three_four,four_zero,four_one,four_two,four_three,four_four
México,Países Baixos,24.571,27.476,47.953,10.737,14.4,9.618,4.6,1.695,9.535,12.407,8.341,3.995,1.373,4.156,5.394,3.765,1.691,0.591,1.309,1.689,1.12,0.531,0.167,0.289,0.411,0.263,0.143,0.035
México,Japão,25.442,28.626,45.932,12.229,15.183,9.539,4.113,1.301,10.448,12.595,7.954,3.43,1.119,4.528,5.316,3.345,1.516,0.514,1.312,1.59,1.017,0.419,0.136,0.311,0.328,0.244,0.111,0.037
México,Tunísia,46.993,32.638,20.369,18.763,11.113,3.362,0.703,0.104,19.667,11.697,3.625,0.771,0.105,10.964,6.452,2.016,0.439,0.07,4.032,2.374,0.699,0.155,0.021,1.159,0.76,0.217,0.043,0.007
México,Suécia,50.715,24.763,24.522,7.701,7.874,3.818,1.346,0.333,11.947,11.638,5.955,2.045,0.525,9.352,9.218,4.461,1.541,0.416,4.972,4.782,2.464,0.864,0.217,2.038,1.995,1.007,0.349,0.088
México,Bélgica,29.315,31.016,39.669,14.635,15.469,8.224,2.983,0.843,12.515,13.047,6.952,2.5,0.676,5.571,5.622,2.998,1.091,0.285,1.657,1.692,0.958,0.316,0.081,0.361,0.394,0.207,0.083,0.019
México,Egito,47.299,31.693,21.008,17.102,10.759,3.542,0.832,0.14,18.751,12.112,4.006,0.884,0.14,10.663,6.854,2.254,0.508,0.089,4.197,2.773,0.88,0.214,0.035,1.288,0.821,0.274,0.043,0.011
México,Irã,51.447,27.239,21.314,11.703,8.953,3.593,0.933,0.242,15.805,11.75,4.72,1.275,0.317,10.751,8.387,3.323,0.857,0.186,5.134,3.983,1.573,0.429,0.077,1.882,1.491,0.57,0.167,0.032
México,Nova Zelândia,58.896,25.82,15.284,12.085,7.401,2.316,0.509,0.075,17.644,10.902,3.341,0.789,0.123,13.451,8.066,2.553,0.55,0.081,6.851,4.172,1.365,0.261,0.038,2.747,1.598,0.49,0.112,0.018
México,Espanha,14.588,23.324,62.088,9.715,16.268,13.362,7.66,3.308,6.416,10.253,8.701,4.887,2.216,2.171,3.572,2.958,1.639,0.716,0.469,0.787,0.697,0.366,0.153,0.096,0.135,0.125,0.048,0.031
México,Uruguai,26.546,35.304,38.15,20.946,18.245,8.151,2.504,0.602,14.069,12.299,5.492,1.706,0.395,5.009,4.204,1.907,0.593,0.159,1.154,1.034,0.469,0.148,0.033,0.228,0.172,0.081,0.028,0.004
México,Arábia Saudita,56.063,28.921,15.016,15.914,8.26,2.255,0.362,0.064,20.449,10.933,2.99,0.551,0.079,13.454,7.154,1.901,0.379,0.031,6.077,3.224,0.878,0.161,0.018,2.023,1.095,0.305,0.06,0.011
México,Cabo Verde,64.507,23.713,11.78,11.676,6.022,1.648,0.325,0.042,18.148,9.771,2.628,0.508,0.073,15.051,8.049,2.036,0.422,0.051,8.411,4.448,1.175,0.216,0.03,3.535,1.969,0.54,0.115,0.014
México,França,18.915,27.723,53.362,12.809,17.127,11.918,5.599,1.994,8.736,11.784,8.045,3.786,1.403,3.052,4.124,2.798,1.323,0.5,0.691,1.046,0.695,0.316,0.13,0.135,0.171,0.128,0.044,0.016
México,Senegal,35.539,31.621,32.84,14.978,13.712,6.248,2.084,0.5,14.593,13.175,6.192,1.988,0.5,7.049,6.515,3.111,0.988,0.232,2.322,2.173,0.988,0.338,0.075,0.573,0.547,0.294,0.09,0.018
México,Noruega,30.343,26.821,42.836,8.923,11.78,7.873,3.705,1.37,9.702,12.453,8.333,3.922,1.361,5.21,6.68,4.613,2.041,0.758,1.886,2.575,1.761,0.737,0.279,0.536,0.687,0.47,0.226,0.09
México,Iraque,55.232,28.061,16.707,14.076,8.499,2.627,0.542,0.063,18.882,11.281,3.475,0.752,0.102,12.897,7.655,2.449,0.484,0.061,5.894,3.462,1.07,0.236,0.041,2.141,1.283,0.353,0.083,0.018
México,Argentina,14.632,27.024,58.344,14.04,19.537,13.806,6.728,2.416,7.715,10.604,7.64,3.634,1.37,2.218,3.052,2.155,1.03,0.378,0.394,0.554,0.431,0.211,0.07,0.064,0.077,0.063,0.029,0.014
México,Áustria,34.432,31.025,34.543,14.374,13.94,6.728,2.212,0.608,13.797,13.036,6.495,2.24,0.56,6.691,6.402,3.261,0.986,0.265,2.272,2.209,1.08,0.33,0.096,0.604,0.57,0.286,0.091,0.022
México,Argélia,43.777,29.726,26.497,13.353,11.019,4.859,1.371,0.317,15.239,12.649,5.544,1.582,0.323,9.125,7.658,3.287,0.961,0.216,3.742,3.122,1.291,0.395,0.077,1.162,0.997,0.404,0.123,0.041
México,Jordânia,56.482,25.084,18.434,9.463,7.322,2.836,0.785,0.166,14.681,11.381,4.438,1.265,0.242,11.528,8.905,3.672,0.917,0.211,6.37,4.747,1.928,0.519,0.102,2.671,1.974,0.793,0.209,0.044
México,Portugal,23.822,27.457,48.721,10.881,14.604,9.926,4.805,1.643,9.293,12.397,8.318,3.973,1.451,4.011,5.436,3.629,1.706,0.586,1.185,1.555,1.099,0.499,0.182,0.282,0.371,0.251,0.109,0.049
México,Colômbia,22.746,27.496,49.758,11.271,15.095,10.38,4.923,1.757,9.282,12.176,8.368,3.9,1.415,3.836,5.04,3.546,1.635,0.559,1.1,1.43,0.969,0.467,0.169,0.266,0.319,0.207,0.102,0.033
México,Uzbequistão,44.578,33.118,22.304,18.876,11.851,3.857,0.871,0.151,19.241,12.085,3.976,0.864,0.119,9.997,6.169,2.006,0.437,0.082,3.715,2.222,0.756,0.144,0.029,1.046,0.629,0.203,0.04,0.007
México,República Democrática do Congo,47.229,33.733,19.038,20.717,11.129,3.081,0.583,0.089,21.377,11.277,3.112,0.569,0.079,10.879,5.975,1.624,0.301,0.045,3.888,2.129,0.631,0.112,0.016,1.041,0.597,0.157,0.027,0.003
México,Inglaterra,17.73,29.225,53.045,15.489,19.354,12.434,5.358,1.835,9.06,11.415,7.275,3.218,1.098,2.896,3.557,2.141,0.962,0.319,0.558,0.751,0.502,0.175,0.067,0.096,0.121,0.093,0.039,0.005
México,Croácia,30.118,31.108,38.774,14.89,15.054,7.911,2.805,0.821,12.601,12.958,6.922,2.493,0.696,5.785,5.958,2.95,1.119,0.363,1.742,1.744,0.918,0.289,0.086,0.384,0.406,0.22,0.079,0.021
México,Gana,62.376,23.453,14.171,9.854,6.244,2.136,0.516,0.086,16.333,10.371,3.395,0.782,0.126,13.575,8.551,2.856,0.622,0.121,7.757,4.898,1.592,0.34,0.066,3.428,2.107,0.722,0.167,0.031
México,Panamá,55.277,25.802,18.921,10.095,7.615,3.043,0.746,0.137,15.192,11.777,4.563,1.183,0.213,11.446,8.819,3.409,0.971,0.186,6.044,4.625,1.798,0.481,0.109,2.342,1.804,0.684,0.199,0.036
Coreia do Sul,Canadá,33.312,25.48,41.208,7.094,9.795,6.986,3.383,1.265,8.658,11.913,8.504,4.156,1.534,5.413,7.44,5.324,2.571,0.923,2.358,3.148,2.243,1.02,0.411,0.812,1.069,0.693,0.357,0.118
Coreia do Sul,Suíça,20.553,20.68,58.767,4.45,8.553,8.741,5.942,3.153,4.789,9.251,9.634,6.458,3.387,2.738,5.335,5.287,3.747,2.071,1.034,2.027,2.057,1.441,0.724,0.306,0.616,0.567,0.427,0.224
Coreia do Sul,Catar,62.667,19.475,17.858,4.017,4.256,2.241,0.867,0.24,8.605,8.653,4.72,1.716,0.503,9.089,9.433,5.122,1.846,0.54,6.522,6.897,3.793,1.454,0.367,3.705,3.933,2.147,0.724,0.206
