group,home_team,away_team,date,zero_zero,zero_one,zero_two,zero_three,zero_four,one_zero,one_one,one_two,one_three,one_four,two_zero,two_one,two_two,two_three,two_four,three_zero,three_one,three_two,three_three,three_four,four_zero,four_one,four_two,four_three,four_four
C,Morocco,Haiti,Data não encontrada,4.756,1.927,0.399,0.05,0.007,12.292,4.784,1.059,0.156,0.015,15.944,6.414,1.371,0.201,0.032,14.228,5.605,1.181,0.174,0.015,9.796,3.735,0.807,0.118,0.014
D,Paraguay,Australia,Data não encontrada,14.479,16.357,9.335,3.777,1.148,11.366,12.726,7.089,2.891,0.891,4.596,5.073,2.989,1.138,0.38,1.255,1.387,0.839,0.293,0.077,0.311,0.32,0.176,0.07,0.019
E,Curaçao,Ivory Coast,Data não encontrada,12.243,17.228,12.713,6.447,2.557,7.861,11.22,8.205,4.146,1.573,2.646,3.68,2.634,1.373,0.495,0.558,0.832,0.598,0.348,0.117,0.103,0.135,0.11,0.057,0.016
F,Japan,Sweden,Data não encontrada,1.896,2.035,1.169,0.473,0.129,5.138,5.675,3.17,1.29,0.358,7.185,7.999,4.542,1.831,0.586,6.978,7.791,4.452,1.81,0.516,5.09,5.629,3.248,1.281,0.392
G,Egypt,Iran,Data não encontrada,12.783,14.261,7.963,3.061,0.906,11.766,12.832,7.253,2.813,0.881,5.779,6.171,3.473,1.328,0.448,1.787,2.099,1.155,0.445,0.137,0.534,0.526,0.293,0.115,0.039
H,Cape Verde,Saudi Arabia,Data não encontrada,14.827,15.293,8.179,2.95,0.817,12.489,12.904,6.902,2.64,0.684,5.478,5.75,3.03,1.197,0.298,1.642,1.719,0.841,0.347,0.095,0.38,0.39,0.197,0.075,0.024
I,Senegal,Iraq,Data não encontrada,10.229,7.096,2.563,0.614,0.104,16.003,11.142,3.905,0.978,0.184,12.549,8.638,3.082,0.741,0.14,6.839,4.656,1.617,0.379,0.082,2.807,1.921,0.701,0.168,0.024
J,Algeria,Austria,Data não encontrada,8.203,11.181,7.782,3.706,1.375,8.989,12.362,8.487,4.082,1.478,5.139,6.907,4.926,2.25,0.81,1.999,2.646,1.831,0.876,0.316,0.604,0.764,0.565,0.265,0.1
K,DR Congo,Uzbekistan,Data não encontrada,25.197,18.163,6.847,1.761,0.371,16.086,11.588,4.34,1.074,0.236,5.335,3.888,1.523,0.364,0.073,1.212,0.867,0.364,0.091,0.017,0.211,0.146,0.049,0.016,0.002
L,Croatia,Ghana,Data não encontrada,5.876,4.898,2.053,0.657,0.142,11.176,9.332,3.933,1.174,0.264,11.504,9.333,4.013,1.169,0.239,7.826,6.42,2.801,0.765,0.193,4.132,3.447,1.45,0.396,0.09
A,South Africa,Czech Republic,Data não encontrada,7.365,9.734,6.456,3.031,1.051,9.203,12.04,8.125,3.835,1.334,5.889,7.776,5.224,2.421,0.864,2.593,3.32,2.309,1.062,0.397,0.892,1.205,0.737,0.35,0.127
B,Bosnia and Herzegovina,Switzerland,Data não encontrada,4.361,10.035,11.916,9.523,6.209,3.27,7.419,8.652,7.1,4.55,1.182,2.843,3.351,2.759,1.784,0.328,0.716,0.828,0.665,0.427,0.07,0.157,0.179,0.161,0.104
C,Morocco,Scotland,Data não encontrada,10.458,6.574,2.057,0.469,0.089,16.704,10.161,3.264,0.715,0.121,13.968,8.288,2.763,0.608,0.105,7.649,4.765,1.526,0.347,0.047,3.326,2.039,0.675,0.126,0.018
D,Paraguay,Turkey,Data não encontrada,11.218,11.896,6.384,2.312,0.705,12.388,12.946,6.738,2.463,0.741,7.194,7.289,3.961,1.548,0.431,2.776,2.94,1.564,0.528,0.161,0.845,0.877,0.464,0.199,0.044
E,Curaçao,Ecuador,Data não encontrada,14.223,22.539,18.982,10.803,4.789,4.373,6.784,5.546,3.251,1.42,0.694,1.05,0.911,0.558,0.212,0.083,0.101,0.098,0.055,0.024,0.004,0.013,0.006,0.003,0.001
F,Japan,Tunisia,Data não encontrada,6.289,4.485,1.787,0.446,0.084,12.296,9.145,3.31,0.877,0.183,12.83,9.171,3.425,0.926,0.172,8.718,6.318,2.4,0.608,0.147,4.617,3.331,1.269,0.323,0.06
G,Egypt,New Zealand,Data não encontrada,13.835,11.451,4.864,1.389,0.296,15.394,12.596,5.363,1.598,0.373,9.091,7.567,3.199,0.876,0.238,3.635,2.876,1.245,0.361,0.088,1.15,0.938,0.378,0.114,0.02
H,Cape Verde,Uruguay,Data não encontrada,10.118,18.041,16.309,10.187,4.915,4.771,8.33,7.585,4.723,2.255,1.131,2.163,1.833,1.179,0.56,0.187,0.317,0.284,0.197,0.091,0.03,0.045,0.051,0.023,0.01
I,Senegal,Norway,Data não encontrada,6.416,8.996,6.51,3.302,1.279,8.362,11.383,8.302,4.233,1.639,5.305,7.525,5.512,2.777,1.064,2.522,3.672,2.558,1.241,0.47,0.817,1.195,0.856,0.439,0.169
J,Algeria,Jordan,Data não encontrada,5.939,6.914,4.071,1.659,0.505,9.627,11.178,6.599,2.713,0.85,7.913,9.03,5.474,2.322,0.707,4.429,5.246,3.081,1.322,0.363,1.864,2.152,1.307,0.55,0.173
K,DR Congo,Colombia,Data não encontrada,12.482,18.009,13.415,6.878,2.779,7.371,10.747,8.095,4.146,1.618,2.268,3.39,2.419,1.19,0.484,0.495,0.707,0.557,0.24,0.134,0.071,0.114,0.092,0.047,0.016
