group,home_team,away_team,date,one_zero,two_zero,three_zero,four_zero,four_one,two_one,three_one,three_two,four_two,four_three,zero_zero,one_one,two_two,three_three,four_four,zero_one,zero_two,zero_three,zero_four,one_two,one_three,one_four,two_three,two_four,three_four,home_real,away_real
D,EUA,Austrália,19/06,10.4508,4.8922,1.4327,0.3147,0.3741,5.8151,1.703,1.0122,0.2223,0.0881,13.3608,13.9229,3.4561,0.401,0.0262,14.381,8.9545,3.548,1.0543,7.8674,3.1172,0.9263,1.3694,0.4069,0.1192,,
D,EUA,Paraguai,12/06,12.8643,5.9948,1.7667,0.3905,0.3872,5.9444,1.7519,0.8686,0.192,0.0635,16.0341,14.1431,2.9472,0.2871,0.0157,14.5124,7.5405,2.4924,0.6179,6.6669,2.2036,0.5463,0.9742,0.2415,0.0712,,
D,Turquia,EUA,25/06,8.9768,6.9118,3.3139,1.1917,1.5171,8.7995,4.219,2.6857,0.9658,0.4098,7.3151,12.869,5.6014,1.1397,0.1304,7.8726,5.4148,2.2979,0.7314,7.7885,3.3052,1.052,2.3771,0.7566,0.3628,,
D,Paraguai,Austrália,25/06,13.5947,5.393,1.3589,0.2568,0.2342,4.9178,1.2392,0.565,0.1068,0.0325,19.5494,13.685,2.2422,0.1717,0.0074,16.5383,7.8477,2.3854,0.5438,5.9323,1.8032,0.4111,0.6815,0.1554,0.0391,,
D,Austrália,Turquia,13/06,11.1649,7.7714,3.4015,1.1166,1.2244,8.5216,3.7298,2.0449,0.6713,0.2454,9.6872,13.652,4.6721,0.7474,0.0673,9.2129,5.4196,1.9809,0.543,7.1163,2.6011,0.713,1.7077,0.4681,0.2049,,
D,Turquia,Paraguai,19/06,11.5689,6.7667,2.4889,0.6866,0.7521,7.4121,2.7263,1.4932,0.4119,0.1504,11.8106,14.1301,4.0595,0.5452,0.0412,11.4791,6.668,2.4347,0.6667,7.3578,2.6865,0.7357,1.4822,0.4059,0.1493,,
E,Equador,Alemanha,25/06,13.4135,6.0107,1.7076,0.3638,0.3446,5.6933,1.6174,0.766,0.1632,0.0515,17.2425,14.0525,2.6963,0.2418,0.0122,14.9847,7.4244,2.3441,0.5551,6.3275,1.9978,0.4731,0.8513,0.2016,0.0573,,
E,Alemanha,Costa do Marfim,20/06,13.4813,11.1466,5.8762,2.3233,1.9565,9.3868,4.9484,2.0836,0.8238,0.2312,9.5278,12.4854,3.9524,0.5849,0.0487,6.8911,3.1604,0.8872,0.1868,4.9982,1.403,0.2954,1.1095,0.2336,0.1231,,
E,Alemanha,Curaçao,14/06,8.1099,13.7948,15.2412,12.6294,6.2692,6.8478,7.5657,1.8778,1.556,0.2575,2.7253,4.346,1.6996,0.3107,0.032,1.0326,0.3094,0.0512,0.0064,1.0256,0.1697,0.0211,0.2812,0.0349,0.0386,,
E,Costa do Marfim,Equador,14/06,12.3277,3.3135,0.5671,0.0728,0.0631,2.8747,0.492,0.2134,0.0274,0.0079,25.7203,11.7783,1.247,0.0617,0.0017,21.2312,9.4614,2.7361,0.5934,4.8577,1.4048,0.3047,0.3606,0.0782,0.0134,,
E,Equador,Curaçao,20/06,21.6991,20.0414,12.1468,5.5215,1.6711,6.0654,3.6762,0.5563,0.2529,0.0255,12.4695,7.0172,0.9178,0.0561,0.0019,3.3237,0.5552,0.056,0.0042,1.0096,0.1018,0.0077,0.0926,0.007,0.0042,,
E,Curaçao,Costa do Marfim,25/06,4.6337,1.2909,0.2174,0.0275,0.0493,2.3192,0.3906,0.3509,0.0443,0.0265,10.586,9.6545,2.0834,0.2102,0.0119,17.6896,16.3178,9.7723,4.3893,8.2457,4.9382,2.218,1.2477,0.5604,0.0944,,
F,Países Baixos,Japão,14/06,9.7124,6.2158,2.4802,0.7422,0.9285,7.7755,3.1025,1.9405,0.5807,0.2421,9.3485,13.664,4.8633,0.8092,0.0757,10.1799,6.788,2.8304,0.8852,8.1255,3.3881,1.0596,2.0279,0.6342,0.253,,
F,Tunísia,Países Baixos,25/06,7.4515,3.0207,0.7536,0.141,0.2091,4.4797,1.1176,0.8287,0.1551,0.0767,11.4036,12.5899,3.3217,0.4097,0.0284,15.3724,11.8584,5.862,2.1734,8.8758,4.3876,1.6267,1.642,0.6088,0.1519,,
F,Países Baixos,Suécia,20/06,8.6088,9.4602,6.5464,3.3975,3.6364,10.1254,7.0067,3.7497,1.946,0.6943,4.8955,10.2601,5.4187,1.3378,0.1858,4.1938,2.5147,0.8972,0.2401,5.2204,1.8625,0.4984,1.9332,0.5173,0.358,,
F,Tunísia,Japão,20/06,8.8467,2.8609,0.5768,0.0872,0.1092,3.5828,0.7223,0.4523,0.0684,0.0285,16.2547,12.4609,2.2435,0.1888,0.0089,18.9743,12.2653,5.1201,1.603,7.4184,3.0968,0.9695,0.9365,0.2932,0.0591,,
F,Japão,Suécia,25/06,12.333,11.3172,6.6132,2.8983,2.5068,9.7882,5.7197,2.4735,1.084,0.3125,7.9434,11.7453,4.2329,0.7131,0.0676,5.7917,2.7547,0.7942,0.1717,4.8291,1.3922,0.301,1.2203,0.2639,0.1542,,
F,Suécia,Tunísia,14/06,12.1771,6.8987,2.464,0.6601,0.6924,7.2362,2.5846,1.3555,0.3631,0.127,12.7167,14.2061,3.7951,0.4739,0.0333,11.9056,6.6109,2.3115,0.6061,7.0837,2.4768,0.6495,1.3269,0.348,0.1243,,
G,Bélgica,Egito,15/06,16.0357,10.1288,4.0948,1.2416,0.9578,7.8139,3.1589,1.2185,0.3694,0.095,14.4394,13.5528,3.014,0.3133,0.0183,9.9571,4.0981,1.0538,0.2032,4.9702,1.2781,0.2465,0.775,0.1495,0.0604,,
G,Bélgica,Irã,21/06,12.0872,9.2344,4.463,1.6177,1.5959,9.11,4.4029,2.1718,0.7872,0.2589,9.4362,13.2171,4.4936,0.7142,0.0638,8.0162,4.2751,1.4058,0.3467,6.1985,2.0383,0.5027,1.4777,0.3644,0.1761,,
G,Nova Zelândia,Bélgica,26/06,5.6948,1.881,0.3783,0.0571,0.0955,3.1484,0.6332,0.5299,0.0799,0.0446,10.8753,10.9774,2.635,0.2957,0.0187,16.7582,14.4777,8.0778,3.3802,8.7348,4.8736,2.0394,1.4702,0.6152,0.1237,,
G,Egito,Irã,26/06,13.4346,6.281,1.8613,0.4137,0.3934,5.973,1.77,0.8416,0.187,0.0593,16.5907,14.1334,2.84,0.2668,0.0141,14.4193,7.187,2.2782,0.5416,6.3892,2.0253,0.4815,0.9002,0.214,0.0634,,
G,Nova Zelândia,Egito,21/06,11.0383,3.39,0.6572,0.0956,0.0981,3.4792,0.6745,0.3461,0.0503,0.0172,20.665,12.5843,1.7854,0.1184,0.0044,19.953,10.5569,3.6116,0.9266,6.1397,2.1004,0.5389,0.6108,0.1567,0.0304,,
G,Irã,Nova Zelândia,15/06,17.0322,11.5944,5.0723,1.6643,1.1571,8.0612,3.5266,1.226,0.4023,0.0932,14.0984,12.9205,2.8023,0.2841,0.0162,8.7236,3.2538,0.7541,0.1311,4.2704,0.9897,0.172,0.6495,0.1129,0.0494,,
H,Uruguai,Espanha,26/06,9.6073,3.5094,0.8008,0.1371,0.1666,4.2666,0.9736,0.5918,0.1013,0.041,15.6226,13.1106,2.5936,0.2398,0.0125,17.563,11.0686,4.4856,1.3634,7.5773,3.0707,0.9333,1.0511,0.3195,0.0729,,
H,Espanha,Arábia Saudita,21/06,15.6932,18.1252,13.6571,7.7178,3.1928,7.4983,5.6499,1.1687,0.6604,0.0911,7.4381,6.9779,1.551,0.1612,0.0094,2.5914,0.6071,0.0837,0.0087,1.3723,0.1892,0.0196,0.2139,0.0221,0.0167,,
